#FamilyID	Clec<0>	Aluc<1>	<2>	Rpro<3>	Hhal<4>	Achi<5>	<6>	<7>	<8>	Nlug<9>	Btab<10>	Apis<11>	<12>	<13>	Dmel<14>	<15>	<16>	Bmor<17>	<18>	
OG0000048	0.353014	3.47872e-10	0.0790959	0.702218	6.45068e-19	3.15229e-10	0.20761	0.0808424	2.7234e-05	0.0221765	0.268461	0.268461	0.668111	0.297327	0.0896208	0.800504	0.566953	0.0605023	N/A
OG0000051	0.187666	0.452075	0.741837	0.893305	0.000391308	2.04975e-10	0.758859	0.671493	0.838979	0.00560552	0.749706	0.749706	0.190365	0.770996	0.333385	0.381034	0.604104	0.930723	N/A
OG0000052	0.530203	0.0691394	0.23719	0.568047	9.54416e-05	9.26306e-07	0.0144491	0.89097	0.00449449	0.418657	0.705511	0.90038	0.142998	0.729339	0.595381	0.298495	0.576749	0.121545	N/A
OG0000054	0.151985	0.151985	6.71916e-06	0.301447	4.85671e-07	0.0382567	0.261492	0.537696	4.25167e-05	2.66539e-08	0.00412699	6.80009e-17	0.757029	0.240519	2.4511e-05	0.0558474	0.595311	0.519639	N/A
OG0000056	0.00193445	0.727587	0.588765	0.404361	0.00048864	0.105658	0.190548	0.781798	1.37292e-05	5.47652e-22	0.000712744	5.83535e-12	0.733057	0.758673	8.23217e-05	0.0980789	0.586197	0.922176	N/A
OG0000057	0.00980204	0.675805	0.56211	0.0159964	0.665747	0.253734	0.00468384	0.781798	0.00117213	1.79679e-05	8.44316e-05	1.25445e-34	0.703886	0.0605407	0.000946535	0.0652008	0.566953	0.909526	N/A
OG0000058	0.793358	0.793358	0.634783	4.03579e-05	1.78678e-06	3.79266e-05	0.261492	0.828662	0.0130518	8.69638e-06	8.44316e-05	5.41585e-23	0.719201	0.188659	0.00359952	0.0814349	0.576749	0.751149	N/A
OG0000059	0.00781117	0.000663691	0.704151	0.0599494	0.0699849	0.805129	0.370241	0.176	0.820102	0.58299	0.00469673	3.34821e-08	0.733057	0.758673	0.925853	0.356176	0.595311	0.058516	N/A
OG0000061	0.544428	0.0961226	0.672712	0.0360011	0.00114587	4.79836e-07	0.320596	0.855975	0.0212148	0.000627305	3.47892e-05	1.62288e-10	0.745618	0.770996	0.068828	0.381034	0.604104	0.542153	N/A
OG0000063	0.634848	0.0976307	0.730366	0.88806	0.0803619	6.36969e-09	0.747464	0.0700054	0.830231	0.020394	0.595768	0.749706	0.745618	0.770996	0.6746	0.861555	0.612588	0.934068	N/A
OG0000065	0.014305	6.93604e-11	0.65465	0.025447	0.028588	0.00773872	0.669784	0.317586	0.757968	0.663886	0.176606	9.63191e-22	0.668111	0.0380617	0.0411653	0.00439231	0.535326	0.25331	N/A
OG0000066	0.0059199	0.00193445	0.588765	0.00393649	0.00048864	0.00176453	0.190548	0.781798	0.0375464	0.00129738	9.94396e-05	1.85155e-35	0.668111	0.0380617	0.0114044	0.0738771	0.546257	0.324985	N/A
OG0000068	0.00540216	1.20824e-07	0.689157	0.047612	3.21257e-23	1.92218e-09	0.705697	0.134859	0.231067	0.0326669	0.0304251	0.892923	0.686927	0.711838	0.764635	0.547843	0.586197	0.0282444	N/A
OG0000069	0.675805	0.264905	0.133987	0.760376	6.06456e-10	2.33983e-35	0.000623236	0.0403771	0.44335	6.8605e-12	0.0024438	0.000428099	0.109126	0.692051	0.125037	0.0738771	0.546257	0.324985	N/A
